designation;reference;url_product;Fournisseur
Filet de maigre avec peau grattée 1 kg + origine Croatie ASC;323763;/produits/filet-maigre-avec-peau-grattee-1-kg-origine-croatie-asc-0323763;Pomona TerreAzur
Filet de cabillaud avec peau calibre 1/2 élevage Norvège;325902;/produits/filet-cabillaud-avec-peau-calibre-12-elevage-norvege-0325902;Pomona TerreAzur
Filet de truite arc-en-ciel d'élevage en eau douce calibre 200/400 avec peau origine France;322728;/produits/filet-truite-arc-en-ciel-elevage-en-eau-douce-calibre-200400-avec-peau-origine-france-0322728;Pomona TerreAzur
Truite arc-en-ciel d'élevage en eau douce calibre 2/3 origine France;322729;/produits/truite-arc-en-ciel-elevage-en-eau-douce-calibre-23-origine-france-0322729;Pomona TerreAzur
Filet à peau de sandre calibre 300/500 avec peau colis ~ 3 kg;321150;/produits/filet-peau-sandre-calibre-300500-avec-peau-colis-3-kg-0321150;Pomona TerreAzur
Portion de lieu noir plein filet 110 g sans peau sans arêtes;319871;/produits/portion-lieu-noir-plein-filet-110-g-sans-peau-sans-aretes-0319871;Pomona TerreAzur
Portion de lieu noir plein filet 90 g sans peau sans arêtes;319870;/produits/portion-lieu-noir-plein-filet-90-g-sans-peau-sans-aretes-0319870;Pomona TerreAzur
Portion de lieu noir plein filet 180 g sans peau sans arêtes;322898;/produits/portion-lieu-noir-plein-filet-180-g-sans-peau-sans-aretes-0322898;Pomona TerreAzur
Portion de lieu noir plein filet 90 g sans peau sans arêtes;322894;/produits/portion-lieu-noir-plein-filet-90-g-sans-peau-sans-aretes-0322894;Pomona TerreAzur
Portion de lieu noir plein filet 130 g sans peau sans arêtes;319872;/produits/portion-lieu-noir-plein-filet-130-g-sans-peau-sans-aretes-0319872;Pomona TerreAzur
Portion de lieu noir plein filet 70 g sans peau sans arêtes;322893;/produits/portion-lieu-noir-plein-filet-70-g-sans-peau-sans-aretes-0322893;Pomona TerreAzur
Portion de lieu noir plein filet 150 g sans peau sans arêtes;322897;/produits/portion-lieu-noir-plein-filet-150-g-sans-peau-sans-aretes-0322897;Pomona TerreAzur
Portion de lieu noir plein filet 130 g sans peau sans arêtes;322896;/produits/portion-lieu-noir-plein-filet-130-g-sans-peau-sans-aretes-0322896;Pomona TerreAzur
Portion de lieu noir plein filet 110 g sans peau sans arêtes;322895;/produits/portion-lieu-noir-plein-filet-110-g-sans-peau-sans-aretes-0322895;Pomona TerreAzur
Portion de lieu noir plein filet 70 g sans peau sans arêtes;300408;/produits/portion-lieu-noir-plein-filet-70-g-sans-peau-sans-aretes-0300408;Pomona TerreAzur
Portion de lieu noir plein filet 150 g sans peau sans arêtes;319953;/produits/portion-lieu-noir-plein-filet-150-g-sans-peau-sans-aretes-0319953;Pomona TerreAzur
Filet de cabillaud à peau calibre 0.5/1 élevage Norvège;317011;/produits/filet-cabillaud-peau-calibre-0-51-elevage-norvege-0317011;Pomona TerreAzur
Filet de lieu noir sans peau sans arêtes calibre 200 g + colis de 3 kg;319271;/produits/filet-lieu-noir-sans-peau-sans-aretes-calibre-200-g-colis-3-kg-0319271;Pomona TerreAzur
Filet de cabillaud de ligne avec peau calibre 1/2  origine Islande MSC 100 % EXPERTS Marée;212608;/produits/filet-cabillaud-ligne-avec-peau-calibre-12-origine-islande-msc-100-experts-maree-0212608;Pomona TerreAzur
Filet de lieu noir de ligne avec peau gatté calibre 1/2  origine Islande MSC 100 % EXPERTS Marée;243772;/produits/filet-lieu-noir-ligne-avec-peau-gatte-calibre-12-origine-islande-msc-100-experts-maree-0243772;Pomona TerreAzur
Dos de cabillaud de ligne avec peau calibre 800 +  origine Islande MSC 100 % EXPERTS Marée;267382;/produits/dos-cabillaud-ligne-avec-peau-calibre-800-origine-islande-msc-100-experts-maree-0267382;Pomona TerreAzur
Dos de lieu noir de ligne avec peau grattée calibre 800 +  origine Islande MSC 100 % EXPERTS Marée;267384;/produits/dos-lieu-noir-ligne-avec-peau-grattee-calibre-800-origine-islande-msc-100-experts-maree-0267384;Pomona TerreAzur
Longe de thon germon sashimi ligne sans peau barquette env 3 kg;318788;/produits/longe-thon-germon-sashimi-ligne-sans-peau-barquette-env-3-kg-0318788;Pomona TerreAzur
Bar d'élevage vidé gratté calibre 600/800  ~ 6 kg origine France Baie de Cannes;292588;/produits/bar-elevage-vide-gratte-calibre-600800-6-kg-origine-france-baie-cannes-0292588;Pomona TerreAzur
Bar d'élevage vidé gratté calibre 400/600  ~ 6 kg origine France Baie de Cannes;292589;/produits/bar-elevage-vide-gratte-calibre-400600-6-kg-origine-france-baie-cannes-0292589;Pomona TerreAzur
Filet de dorade royale avec peau grattée calibre 130/180 élevage France Baie de Cannes;311807;/produits/filet-dorade-royale-avec-peau-grattee-calibre-130180-elevage-france-baie-cannes-0311807;Pomona TerreAzur
Filet de bar avec peau grattée calibre 130/180 élevage France Baie de Cannes;311861;/produits/filet-bar-avec-peau-grattee-calibre-130180-elevage-france-baie-cannes-0311861;Pomona TerreAzur
Saumon d'élevage calibre 8/9 origine Norvège Bömlo;300402;/produits/saumon-elevage-calibre-89-origine-norvege-bomlo-0300402;Pomona TerreAzur
Dorade royale d'élevage vidée grattée calibre 1 kg + origine France Baie de Cannes;292558;/produits/dorade-royale-elevage-videe-grattee-calibre-1-kg-origine-france-baie-cannes-0292558;Pomona TerreAzur
Bar d'élevage vidé gratté calibre 1 kg + ~ 6 kg origine France Baie de Cannes;292601;/produits/bar-elevage-vide-gratte-calibre-1-kg-6-kg-origine-france-baie-cannes-0292601;Pomona TerreAzur
Dorade royale d'élevage vidée grattée calibre 0,8/1 ~ 6 kg origine France Baie de Cannes;292559;/produits/dorade-royale-elevage-videe-grattee-calibre-0-81-6-kg-origine-france-baie-cannes-0292559;Pomona TerreAzur
Dorade royale d'élevage vidée grattée calibre 400/600 ~ 6 kg origine France Baie de Cannes;292580;/produits/dorade-royale-elevage-videe-grattee-calibre-400600-6-kg-origine-france-baie-cannes-0292580;Pomona TerreAzur
Bar d'élevage vidé gratté calibre 0,8/1 ~ 6 kg origine France Baie de Cannes;292586;/produits/bar-elevage-vide-gratte-calibre-0-81-6-kg-origine-france-baie-cannes-0292586;Pomona TerreAzur
Portion de saumon d'élevage plein filet sans peau sans arêtes calibre 70 g;292991;/produits/portion-saumon-elevage-plein-filet-sans-peau-sans-aretes-calibre-70-g-0292991;Pomona TerreAzur
Bar d'élevage vidé gratté calibre 300/400 ~ 6 kg origine France Baie de Cannes;292587;/produits/bar-elevage-vide-gratte-calibre-300400-6-kg-origine-france-baie-cannes-0292587;Pomona TerreAzur
Dorade royale d'élevage vidée grattée calibre 600/800 ~ 6 kg origine France Baie de Cannes;292584;/produits/dorade-royale-elevage-videe-grattee-calibre-600800-6-kg-origine-france-baie-cannes-0292584;Pomona TerreAzur
Dorade royale d'élevage vidée grattée calibre 300/400 ~ 6 kg origine France Baie de Cannes;292581;/produits/dorade-royale-elevage-videe-grattee-calibre-300400-6-kg-origine-france-baie-cannes-0292581;Pomona TerreAzur
Dorade royale d'élevage calibre 1/2 origine France Baie de Cannes;292738;/produits/dorade-royale-elevage-calibre-12-origine-france-baie-cannes-0292738;Pomona TerreAzur
Longe de thon albacore sashimi de ligne sans peau 1 barquette;287035;/produits/longe-thon-albacore-sashimi-ligne-sans-peau-1-barquette-0287035;Pomona TerreAzur
Longe de thon albacore sashimi de ligne sans peau 1 barquette;286935;/produits/longe-thon-albacore-sashimi-ligne-sans-peau-1-barquette-0286935;Pomona TerreAzur
Longe de thon albacore sashimi de ligne sans peau 2 barquettes;286936;/produits/longe-thon-albacore-sashimi-ligne-sans-peau-2-barquettes-0286936;Pomona TerreAzur
Longe de thon albacore sashimi sans peau 2 barquettes;287043;/produits/longe-thon-albacore-sashimi-sans-peau-2-barquettes-0287043;Pomona TerreAzur
Longe de thon albacore sashimi de ligne sans peau 2 barquettes;287036;/produits/longe-thon-albacore-sashimi-ligne-sans-peau-2-barquettes-0287036;Pomona TerreAzur
Longe de thon obèse sashimi sans peau  2 barquettes;287030;/produits/longe-thon-obese-sashimi-sans-peau-2-barquettes-0287030;Pomona TerreAzur
Longe de thon obèse sashimi sans peau 1 barquette;287034;/produits/longe-thon-obese-sashimi-sans-peau-1-barquette-0287034;Pomona TerreAzur
Longe de thon obèse sashimi sans peau 1 barquette;287042;/produits/longe-thon-obese-sashimi-sans-peau-1-barquette-0287042;Pomona TerreAzur
Longe de thon obèse sashimi sans peau 1 barquette;286937;/produits/longe-thon-obese-sashimi-sans-peau-1-barquette-0286937;Pomona TerreAzur
Longe de thon obèse sashimi sans peau 2 barquettes;287040;/produits/longe-thon-obese-sashimi-sans-peau-2-barquettes-0287040;Pomona TerreAzur
Longe d'espadon sashimi ligne sans peau 4 kg;301110;/produits/longe-espadon-sashimi-ligne-sans-peau-4-kg-0301110;Pomona TerreAzur
Longe de thon albacore sashimi de ligne sans peau 1 barquette;287033;/produits/longe-thon-albacore-sashimi-ligne-sans-peau-1-barquette-0287033;Pomona TerreAzur
Longe de thon albacore sashimi sans peau 1 barquette;287045;/produits/longe-thon-albacore-sashimi-sans-peau-1-barquette-0287045;Pomona TerreAzur
Longe de thon albacore sashimi sans peau pièce de ~2 kg;287041;/produits/longe-thon-albacore-sashimi-sans-peau-piece-2-kg-0287041;Pomona TerreAzur
Filet de saumon prérigor d'élevage avec peau dégraissé calibre 1.3/2.1 origine Norvège;297078;/produits/filet-saumon-prerigor-elevage-avec-peau-degraisse-calibre-1-32-1-origine-norvege-0297078;Pomona TerreAzur
Longe de thon rouge de ligne avec peau calibre ~5 kg;288440;/produits/longe-thon-rouge-ligne-avec-peau-calibre-5-kg-0288440;Pomona TerreAzur
Longe de thon obèse sans peau sashimi décongelé Barquette de 1 pièce;286934;/produits/longe-thon-obese-sans-peau-sashimi-decongele-barquette-1-piece-0286934;Pomona TerreAzur
Longe de thon sans peau albacore sashimi décongelé Barquette de 2 pièces;286933;/produits/longe-thon-sans-peau-albacore-sashimi-decongele-barquette-2-pieces-0286933;Pomona TerreAzur
Longe de thon sahshimi sans peau décongelé Barquette de 1 pièce;286932;/produits/longe-thon-sahshimi-sans-peau-decongele-barquette-1-piece-0286932;Pomona TerreAzur
Saumon d'élevage calibre 4/5 BIO;114597;/produits/saumon-elevage-calibre-45-bio-0114597;Pomona TerreAzur
Filet de truite arc en ciel blanche d'élevage en eau douce 200/400 g avec peau BIO;146637;/produits/filet-truite-arc-en-ciel-blanche-elevage-en-eau-douce-200400-g-avec-peau-bio-0146637;Pomona TerreAzur
Saumon d'élevage calibre 2/3 Label Rouge;114617;/produits/saumon-elevage-calibre-23-label-rouge-0114617;Pomona TerreAzur
Saumon d'élevage calibre 8/9 Label Rouge;114635;/produits/saumon-elevage-calibre-89-label-rouge-0114635;Pomona TerreAzur
Filet de truite arc en ciel d'élevage en eau douce 200/400 g avec peau origine France BIO;253789;/produits/filet-truite-arc-en-ciel-elevage-en-eau-douce-200400-g-avec-peau-origine-france-bio-0253789;Pomona TerreAzur
Saumon d'élevage calibre 5/6 BIO;114599;/produits/saumon-elevage-calibre-56-bio-0114599;Pomona TerreAzur
Turbot d'élevage calibre 1/1,5 Label Rouge;115069;/produits/turbot-elevage-calibre-11-5-label-rouge-0115069;Pomona TerreAzur
Saumon d'élevage calibre 1/2 Label Rouge;114613;/produits/saumon-elevage-calibre-12-label-rouge-0114613;Pomona TerreAzur
Saumon d'élevage calibre 3/4 Label Rouge;114620;/produits/saumon-elevage-calibre-34-label-rouge-0114620;Pomona TerreAzur
Maigre d'élevage calibre 3/4 Label Rouge;114476;/produits/maigre-elevage-calibre-34-label-rouge-0114476;Pomona TerreAzur
Raie calibre 1 kg + Pavillon France;116920;/produits/raie-calibre-1-kg-pavillon-france-0116920;Pomona TerreAzur
Filet de lieu jaune avec peau grattée calibre 0,5/0,1 Pavillon France;116128;/produits/filet-lieu-jaune-avec-peau-grattee-calibre-0-50-1-pavillon-france-0116128;Pomona TerreAzur
Longe de thon albacore sashimi ligne pièce de 2 kg;240324;/produits/longe-thon-albacore-sashimi-ligne-piece-2-kg-0240324;Pomona TerreAzur
Saumon d'élevage calibre 2/3 origine Norvège Bömlo;178290;/produits/saumon-elevage-calibre-23-origine-norvege-bomlo-0178290;Pomona TerreAzur
Bar de ligne calibre 0,8/1 kg pêché en Atlantique Nord-Est En direct de nos criées;199437;/produits/bar-ligne-calibre-0-81-kg-peche-en-atlantique-nord-est-en-direct-nos-criees-0199437;Pomona TerreAzur
Bar de ligne calibre 0,8/1 kg pêché en Atlantique Nord-Est En direct de nos criées;229271;/produits/bar-ligne-calibre-0-81-kg-peche-en-atlantique-nord-est-en-direct-nos-criees-0229271;Pomona TerreAzur
Filet de truite arc en ciel d'élevage en eau douce 200/400 gr  Trim C - colis de 3 kg - poisson de ma région;240353;/produits/filet-truite-arc-en-ciel-elevage-en-eau-douce-200400-gr-trim-c-colis-3-kg-poisson-ma-region-0240353;Pomona TerreAzur
Bar de ligne calibre 4 kg et + pêché en Atlantique Nord-Est En direct de nos criées;184535;/produits/bar-ligne-calibre-4-kg-et-peche-en-atlantique-nord-est-en-direct-nos-criees-0184535;Pomona TerreAzur
Longe de thon albacore sashimi ligne pièce de 2 kg;240324;/produits/longe-thon-albacore-sashimi-ligne-piece-2-kg-0240324;Pomona TerreAzur
Filet de truite arc en ciel d'élevage en eau douce 200/400 g avec peau origine France BIO;253789;/produits/filet-truite-arc-en-ciel-elevage-en-eau-douce-200400-g-avec-peau-origine-france-bio-0253789;Pomona TerreAzur
Saumon d'élevage calibre 5/6 BIO;114599;/produits/saumon-elevage-calibre-56-bio-0114599;Pomona TerreAzur
Turbot d'élevage calibre 1/1,5 Label Rouge;115069;/produits/turbot-elevage-calibre-11-5-label-rouge-0115069;Pomona TerreAzur
Saumon d'élevage calibre 2/3 origine Norvège Bömlo;178290;/produits/saumon-elevage-calibre-23-origine-norvege-bomlo-0178290;Pomona TerreAzur
Saumon d'élevage calibre 2/3 Label Rouge;114616;/produits/saumon-elevage-calibre-23-label-rouge-0114616;Pomona TerreAzur
Longe de thon obèse sashimi sans peau barquette ~2 kg;245261;/produits/longe-thon-obese-sashimi-sans-peau-barquette-2-kg-0245261;Pomona TerreAzur
Longe de thon obèse sashimi sans peau barquette ~4 kg;136037;/produits/longe-thon-obese-sashimi-sans-peau-barquette-4-kg-0136037;Pomona TerreAzur
Long de thon albacore sashimi sans peau barquette ~4 kg;135986;/produits/long-thon-albacore-sashimi-sans-peau-barquette-4-kg-0135986;Pomona TerreAzur
Longe de thon Germon sashimi sans peau barquette ~4 kg;136019;/produits/longe-thon-germon-sashimi-sans-peau-barquette-4-kg-0136019;Pomona TerreAzur
Bar de ligne calibre 500/800 pêché en Atlantique Nord-Est Pavillon France;115182;/produits/bar-ligne-calibre-500800-peche-en-atlantique-nord-est-pavillon-france-0115182;Pomona TerreAzur
Bar calibre 0,8/1 Pavillon France;115197;/produits/bar-calibre-0-81-pavillon-france-0115197;Pomona TerreAzur
Bar calibre 2/3 Pavillon France;115212;/produits/bar-calibre-23-pavillon-france-0115212;Pomona TerreAzur
Bar calibre 1/2 Pavillon France;115207;/produits/bar-calibre-12-pavillon-france-0115207;Pomona TerreAzur
Bar calibre 500/800 Pavillon France;115227;/produits/bar-calibre-500800-pavillon-france-0115227;Pomona TerreAzur
Bar de ligne calibre 2/3 pêché en Atlantique Nord-Est Pavillon France;115172;/produits/bar-ligne-calibre-23-peche-en-atlantique-nord-est-pavillon-france-0115172;Pomona TerreAzur
Bar de ligne calibre 3/4 pêché en Atlantique Nord-Est Pavillon France;115175;/produits/bar-ligne-calibre-34-peche-en-atlantique-nord-est-pavillon-france-0115175;Pomona TerreAzur
Dorade royale calibre 2 kg + Pavillon France;115593;/produits/dorade-royale-calibre-2-kg-pavillon-france-0115593;Pomona TerreAzur
Cabillaud vidé décapité calibre 4/6 Pavillon France;115299;/produits/cabillaud-vide-decapite-calibre-46-pavillon-france-0115299;Pomona TerreAzur
Merlu calibre 1/2 Pavillon France;116802;/produits/merlu-calibre-12-pavillon-france-0116802;Pomona TerreAzur
Merlu calibre 200/300 Pavillon France;116819;/produits/merlu-calibre-200300-pavillon-france-0116819;Pomona TerreAzur
Merlu calibre 2/3 Pavillon France;116812;/produits/merlu-calibre-23-pavillon-france-0116812;Pomona TerreAzur
Merlu calibre 1/3 Pavillon France;116801;/produits/merlu-calibre-13-pavillon-france-0116801;Pomona TerreAzur
Merlu calibre 500/800 Pavillon France;116839;/produits/merlu-calibre-500800-pavillon-france-0116839;Pomona TerreAzur
Merlu calibre 3 kg + Pavillon France;116834;/produits/merlu-calibre-3-kg-pavillon-france-0116834;Pomona TerreAzur
Saint pierre vidé avec tête calibre 1/2 Pavillon France;117067;/produits/saint-pierre-vide-avec-tete-calibre-12-pavillon-france-0117067;Pomona TerreAzur
Sole n°1 vidé avec tête calibre 400 g + Pavillon France;117322;/produits/sole-ndeg1-vide-avec-tete-calibre-400-g-pavillon-france-0117322;Pomona TerreAzur
Sole n°2 vidé avec tête calibre 280/400 Pavillon France;117353;/produits/sole-ndeg2-vide-avec-tete-calibre-280400-pavillon-france-0117353;Pomona TerreAzur
Sole n°3 vidé avec tête calibre 220/280 Pavillon France;117371;/produits/sole-ndeg3-vide-avec-tete-calibre-220280-pavillon-france-0117371;Pomona TerreAzur
Sole n°4 vidé avec tête calibre 170/220 Pavillon France;117382;/produits/sole-ndeg4-vide-avec-tete-calibre-170220-pavillon-france-0117382;Pomona TerreAzur
Tacaud entier colis de 3 kg Pavillon France;117508;/produits/tacaud-entier-colis-3-kg-pavillon-france-0117508;Pomona TerreAzur
Turbot calibre 1/2 Pavillon France;117664;/produits/turbot-calibre-12-pavillon-france-0117664;Pomona TerreAzur
Turbot calibre 2/3 Pavillon France;117668;/produits/turbot-calibre-23-pavillon-france-0117668;Pomona TerreAzur
Turbot calibre 3/4 Pavillon France;117673;/produits/turbot-calibre-34-pavillon-france-0117673;Pomona TerreAzur
Dorade grise entière calibre 300/500 colis de 3 kg Pavillon France;115570;/produits/dorade-grise-entiere-calibre-300500-colis-3-kg-pavillon-france-0115570;Pomona TerreAzur
Dorade grise entière calibre 200/300 colis de 3 kg Pavillon France;115567;/produits/dorade-grise-entiere-calibre-200300-colis-3-kg-pavillon-france-0115567;Pomona TerreAzur
Dorade grise entière calibre 800 g + colis de 3 kg Pavillon France;115580;/produits/dorade-grise-entiere-calibre-800-g-colis-3-kg-pavillon-france-0115580;Pomona TerreAzur
Pagre commun entier calibre 2 kg + colis de 1 pièce Pavillon France;115663;/produits/pagre-commun-entier-calibre-2-kg-colis-1-piece-pavillon-france-0115663;Pomona TerreAzur
Filet de dorade grise avec peau gratté calibre 70/90 colis de 3 kg Pavillon France;145494;/produits/filet-dorade-grise-avec-peau-gratte-calibre-7090-colis-3-kg-pavillon-france-0145494;Pomona TerreAzur
Lieu jaune vidé décapité calibre 2/4 Pavillon France;116177;/produits/lieu-jaune-vide-decapite-calibre-24-pavillon-france-0116177;Pomona TerreAzur
Lieu noir vidé décapité calibre 4/7   Atlantique Pavillon France;116318;/produits/lieu-noir-vide-decapite-calibre-47-atlantique-pavillon-france-0116318;Pomona TerreAzur
Lieu noir vidé décapité calibre 2/4  pêché en Atlantique Pavillon France;116311;/produits/lieu-noir-vide-decapite-calibre-24-peche-en-atlantique-pavillon-france-0116311;Pomona TerreAzur
Queue de lotte calibre 1/2 Pavillon France;116500;/produits/queue-lotte-calibre-12-pavillon-france-0116500;Pomona TerreAzur
Queue de lotte calibre 6 kg +  Pavillon France;116504;/produits/queue-lotte-calibre-6-kg-pavillon-france-0116504;Pomona TerreAzur
Filet de lingue bleue avec peau coupe fraîche Bretagne calibre 1/2 Pavillon France;281460;/produits/filet-lingue-bleue-avec-peau-coupe-fraiche-bretagne-calibre-12-pavillon-france-0281460;Pomona TerreAzur
Filet de merlu avec peau sans flanc coupe fraîche Boulogne-sur-Mer cal 200/500;280360;/produits/filet-merlu-avec-peau-sans-flanc-coupe-fraiche-boulogne-sur-mer-cal-200500-0280360;Pomona TerreAzur
Saumon d'élevage calibre 5/6 Label Rouge;114627;/produits/saumon-elevage-calibre-56-label-rouge-0114627;Pomona TerreAzur
Saumon d'élevage calibre 3/4 BIO;114593;/produits/saumon-elevage-calibre-34-bio-0114593;Pomona TerreAzur
Saumon d'élevage calibre 4/5 BIO;114596;/produits/saumon-elevage-calibre-45-bio-0114596;Pomona TerreAzur
Saumon d'élevage calibre 6/7 BIO;114601;/produits/saumon-elevage-calibre-67-bio-0114601;Pomona TerreAzur
Saumon d'élevage calibre 6/7 Label Rouge;114628;/produits/saumon-elevage-calibre-67-label-rouge-0114628;Pomona TerreAzur
Long de thon albacore sashimi sans peau barquette ~4 kg;135986;/produits/long-thon-albacore-sashimi-sans-peau-barquette-4-kg-0135986;Pomona TerreAzur
Longe de thon Germon sashimi sans peau barquette ~4 kg;136019;/produits/longe-thon-germon-sashimi-sans-peau-barquette-4-kg-0136019;Pomona TerreAzur
Lieu noir vidé décapité calibre 4/7   Atlantique Pavillon France;116318;/produits/lieu-noir-vide-decapite-calibre-47-atlantique-pavillon-france-0116318;Pomona TerreAzur
Lieu noir vidé décapité calibre 2/4  pêché en Atlantique Pavillon France;116311;/produits/lieu-noir-vide-decapite-calibre-24-peche-en-atlantique-pavillon-france-0116311;Pomona TerreAzur
Queue de lotte calibre 1/2 Pavillon France;116500;/produits/queue-lotte-calibre-12-pavillon-france-0116500;Pomona TerreAzur
Queue de lotte calibre 6 kg +  Pavillon France;116504;/produits/queue-lotte-calibre-6-kg-pavillon-france-0116504;Pomona TerreAzur
Tacaud entier de ligne calibre 200 g+ vidé avec tête colis de ~3 kg Pavillon France;229765;/produits/tacaud-entier-ligne-calibre-200-g-vide-avec-tete-colis-3-kg-pavillon-france-0229765;Pomona TerreAzur
Tacaud entier colis de 3 kg Pavillon France;117508;/produits/tacaud-entier-colis-3-kg-pavillon-france-0117508;Pomona TerreAzur
Sole n°2 vidé avec tête calibre 280/400 Pavillon France;117353;/produits/sole-ndeg2-vide-avec-tete-calibre-280400-pavillon-france-0117353;Pomona TerreAzur
Sole n°3 vidé avec tête calibre 220/280 Pavillon France;117371;/produits/sole-ndeg3-vide-avec-tete-calibre-220280-pavillon-france-0117371;Pomona TerreAzur
Sole n°4 vidé avec tête calibre 170/220 Pavillon France;117382;/produits/sole-ndeg4-vide-avec-tete-calibre-170220-pavillon-france-0117382;Pomona TerreAzur
Turbot calibre 1/2 Pavillon France;117664;/produits/turbot-calibre-12-pavillon-france-0117664;Pomona TerreAzur
Turbot calibre 2/3 Pavillon France;117668;/produits/turbot-calibre-23-pavillon-france-0117668;Pomona TerreAzur
Turbot calibre 3/4 Pavillon France;117673;/produits/turbot-calibre-34-pavillon-france-0117673;Pomona TerreAzur
Merlu calibre 1/2 Pavillon France;116802;/produits/merlu-calibre-12-pavillon-france-0116802;Pomona TerreAzur
Merlu calibre 200/300 Pavillon France;116819;/produits/merlu-calibre-200300-pavillon-france-0116819;Pomona TerreAzur
Merlu calibre 2/3 Pavillon France;116812;/produits/merlu-calibre-23-pavillon-france-0116812;Pomona TerreAzur
Limande sole vidée avec tête prête à cuire sans peau calibre 400/600 Pavillon France;188555;/produits/limande-sole-videe-avec-tete-prete-cuire-sans-peau-calibre-400600-pavillon-france-0188555;Pomona TerreAzur
Tacaud entier de ligne calibre 200 g+ vidé avec tête colis de ~3 kg Pavillon France;229765;/produits/tacaud-entier-ligne-calibre-200-g-vide-avec-tete-colis-3-kg-pavillon-france-0229765;Pomona TerreAzur
Long de thon albacore sashimi sans peau barquette ~2 kg;252345;/produits/long-thon-albacore-sashimi-sans-peau-barquette-2-kg-0252345;Pomona TerreAzur
Saumon d'élevage calibre 7/8 origine Norvège Bömlo;160302;/produits/saumon-elevage-calibre-78-origine-norvege-bomlo-0160302;Pomona TerreAzur
Longe de thon albacore sashimi ligne sans peau calibre 1/1,5;175214;/produits/longe-thon-albacore-sashimi-ligne-sans-peau-calibre-11-5-0175214;Pomona TerreAzur
Rascasse calibre 2K+ Pavillon France;117241;/produits/rascasse-calibre-2k-pavillon-france-0117241;Pomona TerreAzur
Saumon d'élevage calibre 1/2 origine Norvège Bömlo;175779;/produits/saumon-elevage-calibre-12-origine-norvege-bomlo-0175779;Pomona TerreAzur
Dorade grise entière calibre 500/800 colis de 3 kg Pavillon France;115574;/produits/dorade-grise-entiere-calibre-500800-colis-3-kg-pavillon-france-0115574;Pomona TerreAzur
Bar d'élevage calibre 300/400  origine France Baie de Cannes;265622;/produits/bar-elevage-calibre-300400-origine-france-baie-cannes-0265622;Pomona TerreAzur
Filet de loup de mer avec peau coupe fraîche Boulogne-Sur-Mer calibre 200/500;280328;/produits/filet-loup-mer-avec-peau-coupe-fraiche-boulogne-sur-mer-calibre-200500-0280328;Pomona TerreAzur
Longe de thon albacore sashimi ligne sans peau barquette ~1,5 kg;244502;/produits/longe-thon-albacore-sashimi-ligne-sans-peau-barquette-1-5-kg-0244502;Pomona TerreAzur
Saumon d'élevage calibre 2/3 origine Norvège Bömlo;175780;/produits/saumon-elevage-calibre-23-origine-norvege-bomlo-0175780;Pomona TerreAzur
Saumon d'élevage calibre 1/2 origine Norvège Bömlo;178289;/produits/saumon-elevage-calibre-12-origine-norvege-bomlo-0178289;Pomona TerreAzur
Filet de saumon d'élevage avec peau sans arêtes Trim D dégraissé calibre 1,3/2,1 Label Rouge;162069;/produits/filet-saumon-elevage-avec-peau-sans-aretes-trim-degraisse-calibre-1-32-1-label-rouge-0162069;Pomona TerreAzur
Filet de lieu noir avec peau grattée coupe fraîche Boulogne-Sur-Mer calibre 200/500;280326;/produits/filet-lieu-noir-avec-peau-grattee-coupe-fraiche-boulogne-sur-mer-calibre-200500-0280326;Pomona TerreAzur
Saumon d'élevage calibre 4/5 Label Rouge;114623;/produits/saumon-elevage-calibre-45-label-rouge-0114623;Pomona TerreAzur
Chinchard à queue jaune entier vidé calibre 1 kg+ colis 1 pièce pêché Pavillon France;217255;/produits/chinchard-queue-jaune-entier-vide-calibre-1-kg-colis-1-piece-peche-pavillon-france-0217255;Pomona TerreAzur
Bar calibre 4 kg + Pavillon France;115223;/produits/bar-calibre-4-kg-pavillon-france-0115223;Pomona TerreAzur
Filet de lingue bleue avec peau coupe fraîche Boulogne-sur-Mer calibre 300/600;280327;/produits/filet-lingue-bleue-avec-peau-coupe-fraiche-boulogne-sur-mer-calibre-300600-0280327;Pomona TerreAzur
Filet d'omble chevalier avec peau calibre 200/400 colis 3 kg élevage;219268;/produits/filet-omble-chevalier-avec-peau-calibre-200400-colis-3-kg-elevage-0219268;Pomona TerreAzur
Saumon d'élevage calibre 6/7 origine Norvège Bömlo;178288;/produits/saumon-elevage-calibre-67-origine-norvege-bomlo-0178288;Pomona TerreAzur
Filet de sardine avec peau colis de 3 kg Pavillon France;117131;/produits/filet-sardine-avec-peau-colis-3-kg-pavillon-france-0117131;Pomona TerreAzur
Queue de lotte calibre 2/4  Pavillon France;116501;/produits/queue-lotte-calibre-24-pavillon-france-0116501;Pomona TerreAzur
Filet de lieu noir avec peau calibre 200/400;145765;/produits/filet-lieu-noir-avec-peau-calibre-200400-0145765;Pomona TerreAzur
Saumon d'élevage calibre 3/4 origine Norvège Bömlo;175781;/produits/saumon-elevage-calibre-34-origine-norvege-bomlo-0175781;Pomona TerreAzur
Saumon d'élevage calibre 4/5 origine Norvège Bömlo;158938;/produits/saumon-elevage-calibre-45-origine-norvege-bomlo-0158938;Pomona TerreAzur
Filet de julienne avec peau coupe fraîche Boulogne-sur-Mer calibre 300/600;280325;/produits/filet-julienne-avec-peau-coupe-fraiche-boulogne-sur-mer-calibre-300600-0280325;Pomona TerreAzur
